Datetime,Bitcoin,Dogecoin,Ethereum
2025-03-03 07:53:04.733580,91565.9,0.22001,2368.05
2025-03-03 08:26:23.678218,91650.01,0.2189,2371.68
2025-03-03 08:40:12.814474,92157.26,0.22045,2377.54
2025-03-03 09:02:39.713003,92235.99,0.22192,2384.03
2025-03-03 09:21:21.719745,92000.01,0.22091,2372.27
2025-03-03 09:49:20.860401,91667.98,0.21862,2348.53
2025-03-03 10:01:41.029177,91305.54,0.21686,2340.15
2025-03-03 10:49:03.719639,91840,0.2177,2341.78
2025-03-03 12:07:25.192638,92555.99,0.22008,2356.99
2025-03-03 12:53:07.322688,92654.84,0.21884,2352.5
2025-03-03 13:37:37.953331,92948,0.21972,2360.98
2025-03-03 14:37:35.799316,93166.47,0.22187,2370.11
2025-03-03 15:30:13.733337,93241.91,0.22184,2363.43
2025-03-03 15:44:59.203156,91365.14,0.21889,2327.61
2025-03-03 16:07:38.827776,89989.86,0.21486,2290.92
2025-03-03 16:49:31.822207,90542.1,0.2161,2295.1
2025-03-03 17:02:09.947787,90194.25,0.21521,2289.14
2025-03-03 17:45:27.318425,90069.99,0.21612,2281.41
2025-03-03 18:12:51.636283,90100.01,0.21536,2271.49
